"Intake24 food code","English description","Local description","Source locale","FCT","FCT record ID","Sub group code","Energy (kcal) (kcal)","Energy (kJ) (kJ)","Water (g)","Total nitrogen (g)","Nitrogen conversion factor (g)","Protein (g)","Carbohydrate (g)","Englyst fibre (g)","Alcohol (g)","Starch (g)","Total sugars (g)","Non-milk extrinsic sugars (g)","Intrinsic and milk sugars (g)","Glucose (g)","Fructose (g)","Sucrose (g)","Maltose (g)","Lactose (g)","Other sugars (UK) (g)","Fat (g)","Satd FA (g)","Cis-Mon FA (g)","Cis-n3 FA (g)","Cis-n6 FA (g)","Trans FA (g)","Cholesterol (g)","Retinol (g)","Total carotene (g)","Alpha-carotene (g)","Beta-carotene (g)","Beta cryptoxanthin (g)","Vitamin A (g)","Vitamin D (g)","Thiamin (g)","Riboflavin (g)","Niacin (g)","Tryptophan/60 (g)","Niacin equivalent (g)","Vitamin C (g)","Vitamin E (g)","Vitamin B6 (g)","Vitamin B12 (g)","Folate (g)","Pantothenic acid (g)","Biotin (g)","Sodium (g)","Potassium (g)","Calcium (g)","Magnesium (g)","Phosphorus (g)","Iron (g)","Haem iron (g)","Non-haem iron (g)","Copper (g)","Zinc (g)","Chloride (g)","Iodine (g)","Manganese (g)","Selenium (g)","AOAC (g)","FS Table sugar (g)","FS Other Added Sugar (g)","FS Honey (g)","FS Fruit Juice (g)","FS Dried Fruit (g)","FS Fruit Puree (g)","FS Stewed Fruit (g)","FS Vegetable Puree (g)","Total FS (g)","Fruit (g)","Dried fruit (g)","Fruit juice (g)","Smoothie fruit (g)","Tomatoes (g)","Tomato puree (g)","Brassicaceae (g)","Yellow Red Green (g)","Beans (g)","Nuts (g)","Other Vegetables (g)","Beef (g)","Lamb (g)","Pork (g)","Processed Red Meat (g)","Other Red Meat (g)","Burgers (g)","Sausages (g)","Offal (g)","Poultry (g)","Processed Poultry (g)","Game Birds (g)","White Fish (g)","Oily Fish (g)","Canned Tuna (g)","Shellfish (g)","Cottage Cheese (g)","Cheddar Cheese (g)","Other Cheese (g)"
"19CRIML","Rice milk","Rice milk/drink (e.g. Rice Dream, Alpro)","UK_V2_2022","UK_NDB_1","9494","13R","50.0","211.0","89.0","0.1","6.22","0.8","9.7","0.1","0.0","5.7","4.0","0.0","4.0","0.0","0.0","0.0","0.0","0.0","4.0","1.1","0.17","0.28","0.03","0.6","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.02","0.0","0.5","0.2","0.7","0.0","0.3","0.0","0.0","2.0","0.1","0.0","39.0","18.0","3.0","3.0","18.0","0.0","0.0","0.0","0.03","0.1","66.0","0.0","0.1","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19CROFCH","Cream of chicken soup (condensed), canned, not made up","Cream of chicken soup (condensed), canned, not made up","UK_V2_2022","UK_NDB_1","2463","50C","52.0","216.0","90.4","0.2","6.25","1.4","5.3","0.0","0.0","3.8","1.5","1.0","0.5","0.0","0.1","0.8","0.0","0.5","0.0","2.9","0.4","1.5","0.2","0.5","0.1","3.0","0.0","16.0","0.0","16.0","0.0","3.0","0.0","0.05","0.05","0.2","0.3","0.5","0.0","0.5","0.0","0.0","1.0","0.0","0.0","220.0","31.0","17.0","3.0","35.0","0.1","0.0","0.1","0.0","0.1","340.0","2.0","0.02","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.66","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19CROFMU","Cream of mushroom soup (condensed), canned, not made up","Cream of mushroom soup (condensed), canned, not made up","UK_V2_2022","UK_NDB_1","10242","50C","108.0","449.0","82.3","0.2","6.25","1.3","6.6","0.3","0.0","4.8","1.8","1.6","0.2","0.0","0.0","1.6","0.0","0.2","0.0","8.7","1.87","4.1","0.48","1.68","0.05","4.0","23.0","15.0","0.0","15.0","0.0","26.0","0.01","0.01","0.04","0.5","0.1","0.6","5.3","1.6","0.0","0.0","1.0","0.2","1.0","880.0","81.0","5.0","5.0","16.0","0.1","0.0","0.1","0.04","0.1","1345.0","3.0","0.02","2.0","0.4","0.8","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19CRPACH","Crispy pancakes, cheese (e.g. Findus)","Crispy pancakes, cheese (e.g. Findus)","UK_V2_2022","UK_NDB_1","3205","1R","180.0","762.0","57.9","1.3","6.25","8.1","28.3","1.0","0.0","24.2","4.1","0.0","4.1","0.0","0.0","0.1","0.0","3.9","0.0","4.7","1.61","1.79","0.12","0.6","0.07","59.0","36.0","11.0","0.0","11.0","0.0","38.0","0.48","0.1","0.24","0.6","2.0","2.5","0.7","0.7","0.1","1.1","14.0","0.6","6.0","308.0","203.0","170.0","20.0","187.0","0.9","0.0","0.9","0.05","0.9","476.0","33.0","0.22","6.0","1.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.49"
"19CRPU","Cranberry puree","Cranberry puree","UK_V2_2022","UK_NDB_1","10925","40R","15.0","65.0","87.0","0.1","6.25","0.4","3.4","3.0","0.0","0.0","3.4","1.7","1.7","2.2","1.2","0.0","0.0","0.0","0.0","0.1","0.0","0.04","0.02","0.02","0.0","0.0","0.0","22.0","0.0","22.0","0.0","4.0","0.0","0.03","0.02","0.1","0.1","0.2","13.0","1.0","0.1","0.0","2.0","0.2","2.0","2.0","95.0","12.0","7.0","11.0","0.7","0.0","0.7","0.05","0.2","0.0","0.0","0.1","0.0","4.0","0.0","0.0","0.0","0.0","0.0","3.4","0.0","0.0","3.4","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19CRRE00","Cracker, reduced fat","Cracker, reduced fat","UK_V2_2022","UK_NDB_1","8330","7A","396.0","1682.0","6.7","1.9","5.75","10.7","79.7","3.1","0.0","78.0","1.7","1.1","0.5","0.0","0.0","1.6","0.1","0.0","0.0","6.1","2.8","1.78","0.2","0.86","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.14","0.02","1.5","1.7","3.3","0.0","0.6","0.1","0.0","19.0","0.8","4.0","540.0","215.0","93.0","22.0","103.0","2.0","0.0","2.0","0.17","0.7","93.0","0.0","0.65","3.0","4.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19CRREFA","Cream, reduced fat","Cream, reduced fat","UK_V2_2022","UK_NDB_1","636","13B","148.0","613.0","78.9","0.5","6.38","3.0","4.3","0.0","0.0","0.0","4.3","0.0","4.3","0.0","0.0","0.0","0.0","4.3","0.0","13.3","8.3","3.33","0.1","0.24","0.63","40.0","190.0","54.0","0.0","54.0","0.0","199.0","0.1","0.03","0.18","0.1","0.7","0.8","1.0","0.3","0.1","0.3","6.0","0.3","2.0","49.0","120.0","99.0","11.0","82.0","0.1","0.0","0.1","0.0","0.3","77.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19CRTOUN","Crumble topping, uncooked","Crumble topping, uncooked","UK_V2_2022","UK_NDB_1","9573","9G","463.0","1947.0","5.9","0.9","6.1","6.1","73.2","1.3","0.0","47.9","25.4","25.2","0.2","0.0","0.0","25.3","0.0","0.1","0.0","18.2","6.9","7.55","0.65","2.13","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.14","0.03","0.9","1.1","1.9","0.0","4.3","0.1","0.0","5.0","0.2","1.0","220.0","110.0","61.0","16.0","64.0","1.3","0.0","1.3","0.13","0.4","360.0","3.0","0.39","2.0","2.1","25.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","25.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19CSESKM","Semi skimmed milk, boiled","Hot milk, semi skimmed","UK_V2_2022","UK_NDB_1","699","11R","45.0","188.0","89.4","0.5","6.38","3.5","4.3","0.0","0.0","0.0","4.3","0.0","4.3","0.0","0.0","0.0","0.0","4.3","0.0","1.7","1.04","0.38","0.01","0.05","0.07","7.0","18.0","8.0","0.0","8.0","0.0","19.0","0.0","0.03","0.22","0.1","0.7","0.8","1.0","0.1","0.1","0.8","6.0","0.7","3.0","42.0","156.0","120.0","10.0","96.0","0.0","0.0","0.0","0.0","0.4","87.0","28.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19CSHR","Coco Shreddies (e.g. Nestle)","Coco Shreddies (e.g. Nestle)","UK_V2_2022","UK_NDB_1","8383","5R","354.0","1508.0","3.3","1.7","5.83","9.7","78.4","7.3","0.0","55.1","23.3","22.8","0.4","0.2","0.1","22.9","0.0","0.2","0.0","2.4","0.8","0.7","0.06","0.27","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.6","0.76","8.6","0.8","9.4","0.0","0.8","0.8","0.0","93.0","3.3","64.0","244.0","355.0","36.0","52.0","143.0","7.5","0.0","7.5","0.35","1.0","381.0","2.0","0.9","3.0","9.8","19.9","1.1","0.0","0.0","0.0","0.0","0.0","0.0","21.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19CSKMIB","Skimmed milk, boiled","Hot milk, skimmed","UK_V2_2022","UK_NDB_1","700","12R","34.0","144.0","90.8","0.5","6.38","3.5","4.8","0.0","0.0","0.0","4.8","0.0","4.8","0.0","0.0","0.0","0.0","4.8","0.0","0.3","0.14","0.07","0.0","0.01","0.01","4.0","0.0","5.0","0.0","5.0","0.0","1.0","0.0","0.03","0.21","0.1","0.7","0.8","0.9","0.0","0.1","0.9","10.0","0.4","3.0","45.0","162.0","125.0","12.0","97.0","0.0","0.0","0.0","0.0","0.5","88.0","32.0","0.01","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19CSMLK","Semi skimmed milk","Semi skimmed milk","UK_V2_2022","UK_NDB_1","11517","11R","45.0","188.0","89.4","0.5","6.38","3.5","4.3","0.0","0.0","0.0","4.3","0.0","4.3","0.0","0.0","0.0","0.0","4.3","0.0","1.7","1.04","0.38","0.01","0.05","0.07","7.0","18.0","8.0","0.0","8.0","0.0","19.0","0.0","0.03","0.24","0.1","0.7","0.8","2.0","0.1","0.1","0.8","8.0","0.8","3.0","42.0","156.0","120.0","10.0","96.0","0.0","0.0","0.0","0.0","0.4","87.0","28.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19CSOMIL","Soya milk, light","Soya milk/drink, light (e.g. Alpro)","UK_V2_2022","UK_NDB_1","10245","13R","19.0","80.0","96.6","0.3","6.25","2.0","0.1","0.9","0.0","0.0","0.1","0.0","0.1","0.0","0.0","0.1","0.0","0.0","0.0","1.2","0.2","0.3","0.1","0.6","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.75","0.06","0.21","0.1","0.7","0.8","10.2","0.9","0.3","0.4","5.0","0.0","1.0","50.0","74.0","120.0","15.0","48.0","0.4","0.0","0.4","0.01","0.3","3.0","11.0","0.03","4.0","0.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19CSOMIS","Soya milk, sweetened","Soya milk/drink, sweetened (e.g. Alpro)","UK_V2_2022","UK_NDB_1","8512","13R","39.0","164.0","90.1","0.5","5.71","3.0","2.9","0.4","0.0","0.1","2.8","2.8","0.0","0.3","1.4","0.8","0.0","0.0","0.3","1.8","0.3","0.4","0.0","1.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.75","0.06","0.21","0.1","0.7","0.8","0.0","0.5","0.0","0.4","0.0","0.0","1.0","60.0","119.0","120.0","18.0","89.0","0.3","0.0","0.3","0.09","0.3","3.0","11.0","0.2","4.0","0.5","1.0","0.0","0.0","1.3","0.0","0.0","0.0","0.5","2.8","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.35","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19CSOYM","Soya milk, unsweetened","Soya milk/drink, unsweetened (e.g. Alpro)","UK_V2_2022","UK_NDB_1","3769","13R","36.0","149.0","92.5","0.6","5.7","3.6","0.6","1.2","0.0","0.5","0.1","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.1","2.1","0.4","0.5","0.14","0.94","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.75","0.06","0.24","0.1","0.7","0.8","0.0","1.5","0.0","0.5","5.0","0.0","1.0","20.0","74.0","120.0","15.0","48.0","0.4","0.0","0.4","0.09","0.3","2.0","1.0","0.3","4.0","0.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19CSTSAU","Chicken stir fry (meat and vegetables with sauce)","Chicken stir fry (meat and vegetables with sauce)","UK_V2_2022","UK_NDB_1","6895","27B","85.0","358.0","79.6","2.2","6.25","13.6","2.9","1.0","0.0","0.3","2.6","0.2","2.4","0.7","0.6","1.1","0.0","0.0","0.2","2.2","0.36","1.0","0.11","0.45","0.01","38.0","0.0","2198.0","579.0","1908.0","0.0","366.0","0.12","0.09","0.07","6.6","2.6","9.2","13.4","0.5","0.3","0.0","15.0","0.8","1.0","205.0","282.0","19.0","21.0","144.0","0.4","0.1","0.4","0.04","0.4","387.0","4.0","0.07","7.0","1.4","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2","0.0","0.0","0.0","0.0","0.0","0.0","8.8","19.53","0.55","0.0","27.23","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","40.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19CSWM","Chicken mayo sandwich with wholemeal/oatmeal bread","Chicken mayo sandwich with wholemeal/oatmeal bread","UK_V2_2022","UK_NDB_1","11437","62R","215.0","906.0","49.4","2.2","6.03","13.6","26.1","2.7","0.0","24.0","2.2","0.5","1.7","0.7","0.3","0.4","0.9","0.0","0.0","6.9","1.1","3.6","0.42","1.41","0.05","26.0","0.0","9.0","0.0","9.0","0.0","1.0","0.11","0.18","0.11","5.2","2.8","8.0","0.0","1.5","0.2","0.0","40.0","0.8","4.0","336.0","225.0","55.0","44.0","180.0","1.6","0.1","1.5","0.17","1.1","529.0","9.0","0.89","8.0","3.6","1.7","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.7","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","27.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19CSWT","Chicken mayo sandwich with white/malted bread","Chicken mayo sandwich with white/malted bread","UK_V2_2022","UK_NDB_1","11436","62R","220.0","930.0","48.4","2.3","5.96","13.7","28.5","1.9","0.0","26.2","2.4","0.5","1.9","0.1","0.3","0.3","1.6","0.0","0.0","6.5","0.98","3.5","0.4","1.29","0.02","26.0","0.0","9.0","0.0","9.0","0.0","1.0","0.11","0.16","0.11","4.6","2.8","7.4","0.0","1.5","0.2","0.0","34.0","0.8","2.0","336.0","192.0","112.0","26.0","139.0","1.2","0.1","1.1","0.15","0.8","512.0","11.0","0.37","8.0","2.1","1.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","27.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19CUPO","Custard powder","Custard powder","UK_V2_2022","UK_NDB_1","11","1R","354.0","1508.0","12.5","0.1","6.25","0.6","92.0","0.1","0.0","92.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.7","0.11","0.2","0.01","0.33","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","380.0","61.0","15.0","7.0","39.0","1.4","0.0","1.4","0.05","0.3","570.0","3.0","0.0","1.0","5.6","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19CUPU","Cucumber puree","Cucumber puree","UK_V2_2022","UK_NDB_1","11396","36B","14.0","60.0","96.5","0.2","6.25","1.0","1.2","0.7","0.0","0.0","1.2","0.0","1.2","0.5","0.7","0.0","0.0","0.0","0.0","0.6","0.19","0.0","0.13","0.13","0.0","0.0","0.0","74.0","0.0","74.0","0.0","12.0","0.0","0.03","0.02","0.2","0.1","0.3","2.1","0.0","0.0","0.0","14.0","0.3","1.0","4.0","156.0","21.0","10.0","23.0","0.3","0.0","0.3","0.03","0.1","67.0","3.0","0.09","0.0","0.7","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.2","1.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19CURSAU","Curry sauce (Chip shop style, Heinz, Bisto etc)","Curry sauce (Chip shop style, Heinz, Bisto etc)","UK_V2_2022","UK_NDB_1","3930","50R","74.0","310.0","74.5","0.3","6.51","1.9","9.1","0.9","0.0","3.1","6.0","0.9","5.1","2.2","2.3","1.1","0.0","0.2","0.1","3.6","1.98","0.94","0.05","0.37","0.05","4.0","25.0","823.0","0.0","803.0","40.0","162.0","0.03","0.15","0.11","2.1","0.6","2.7","12.9","3.4","0.3","0.1","33.0","0.7","4.0","200.0","736.0","59.0","36.0","82.0","1.6","0.0","1.6","0.33","0.6","360.0","6.0","0.26","1.0","1.1","1.7","0.0","0.0","0.0","0.0","0.0","0.0","2.6","4.3","0.0","0.0","1.0","0.0","0.0","54.0","0.0","2.0","0.0","0.4","10.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19CUSACA","Curry sauce, canned","Curry sauce, canned","UK_V2_2022","UK_NDB_1","3979","50R","81.0","341.0","82.6","0.2","6.25","1.4","12.4","1.5","0.0","7.8","4.6","1.4","3.1","1.4","1.7","1.4","0.0","0.0","0.0","3.2","0.5","1.21","0.14","1.14","0.03","0.0","0.0","384.0","16.0","327.0","98.0","64.0","0.0","0.03","0.03","0.8","0.1","0.9","3.3","2.3","0.1","0.0","11.0","0.3","3.0","510.0","236.0","33.0","18.0","32.0","1.0","0.0","1.0","0.09","0.2","890.0","2.0","0.29","1.0","1.6","1.2","0.0","0.0","0.0","0.0","0.0","0.0","2.4","3.6","1.56","0.22","0.44","0.0","21.62","8.11","0.0","2.2","0.0","0.0","15.54","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19CUSAKO","Curry sauce, Korma/Tikka Masala","Curry sauce, Korma/Tikka Masala","UK_V2_2022","UK_NDB_1","3981","50R","133.0","556.0","75.8","0.3","6.25","1.7","10.9","1.5","0.0","3.9","7.1","3.0","4.0","1.5","1.9","3.2","0.0","0.5","0.0","9.5","4.39","2.28","0.15","2.03","0.14","8.0","35.0","395.0","15.0","354.0","66.0","101.0","0.0","0.02","0.14","0.5","0.2","0.7","1.0","1.7","0.1","0.0","6.0","0.2","2.0","300.0","193.0","34.0","17.0","40.0","0.8","0.0","0.8","0.06","0.3","520.0","3.0","0.35","1.0","1.3","3.0","0.0","0.0","0.0","0.0","0.0","0.0","2.3","5.3","0.0","0.0","1.55","0.0","9.18","3.7","0.0","1.22","0.0","0.8","8.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19CVACDE","Childrens' chewable vitamins with vitamin A (200ug), C (40mg), D (7.5ug), E (6mg), pastel","Childrens' chewable multivitamins","UK_V2_2022","UK_NDB_1","11586","54G","0.0","0.0","0.0","0.0","6.25","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","200.0","0.0","0.0","0.0","0.0","200.0","5.0","0.31","0.35","4.0","0.0","4.0","27.5","6.3","0.5","1.8","110.0","2.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","0.0","38.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19CVTS","Chicken and vegetables with a tomato based sauce","Chicken and vegetables with a tomato based sauce","UK_V2_2022","UK_NDB_1","11583","27B","83.0","349.0","79.8","2.1","6.25","13.0","3.4","0.6","0.0","0.3","3.0","0.2","2.8","1.2","1.2","0.6","0.0","0.0","0.1","2.0","0.34","0.91","0.07","0.42","0.01","36.0","0.0","1013.0","212.0","898.0","18.0","169.0","0.12","0.11","0.07","6.6","2.5","9.0","2.3","1.2","0.3","0.0","6.0","0.8","2.0","169.0","338.0","17.0","22.0","134.0","0.5","0.1","0.5","0.07","0.4","278.0","3.0","0.08","6.0","0.9","0.2","0.0","0.0","0.0","0.0","0.0","0.0","1.2","1.4","0.0","0.0","0.0","0.0","39.31","3.68","0.0","7.38","0.0","0.0","6.72","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","38.36","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19CWHMIB","Whole milk, boiled","Hot milk, whole","UK_V2_2022","UK_NDB_1","698","10R","65.0","276.0","87.4","0.5","6.38","3.3","4.4","0.0","0.0","0.0","4.4","0.0","4.4","0.0","0.0","0.0","0.0","4.4","0.0","3.9","2.42","0.91","0.02","0.1","0.07","14.0","32.0","19.0","0.0","19.0","0.0","35.0","0.0","0.03","0.21","0.2","0.6","0.9","1.0","0.1","0.1","0.7","6.0","0.5","3.0","43.0","153.0","117.0","10.0","94.0","0.0","0.0","0.0","0.0","0.4","88.0","29.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19CWHMIF","Whole milk, fortified (e.g. big Arla)","Whole milk, fortified (e.g. big Arla)","UK_V2_2022","UK_NDB_1","11306","10R","68.0","286.0","87.4","0.5","6.38","3.4","5.0","0.0","0.0","0.0","5.0","0.0","5.0","0.0","0.0","0.0","0.0","5.0","0.0","4.0","2.6","0.93","0.02","0.1","0.07","14.0","63.0","13.0","0.0","13.0","0.0","65.0","2.15","0.03","0.24","0.2","0.8","1.0","2.0","0.1","0.1","0.7","11.0","0.6","3.0","41.0","153.0","122.0","10.0","94.0","1.2","0.0","1.2","0.0","0.4","85.0","39.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19CWMLK","Whole milk","Whole milk","UK_V2_2022","UK_NDB_1","11518","10R","65.0","276.0","87.4","0.5","6.38","3.4","4.4","0.0","0.0","0.0","4.4","0.0","4.4","0.0","0.0","0.0","0.0","4.4","0.0","3.9","2.42","0.91","0.02","0.1","0.07","14.0","32.0","19.0","0.0","19.0","0.0","35.0","0.0","0.03","0.23","0.2","0.7","0.9","2.0","0.1","0.1","0.8","8.0","0.6","3.0","43.0","153.0","117.0","10.0","94.0","0.0","0.0","0.0","0.0","0.4","88.0","29.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
